,Tag ID,Longitude,Latitude,Scientific Name,gps:satellite-count,individual-local-identifier
381,F701533,-92.880535,57.865077,Vulpes vulpes,7,A
382,F701533,-92.880541,57.864969,Vulpes vulpes,9,A
383,F701533,-92.880592,57.865018,Vulpes vulpes,8,A
384,F701533,-92.880559,57.865525,Vulpes vulpes,6,A
385,F701533,-92.880818,57.864935,Vulpes vulpes,6,A
386,F701533,-92.866711,57.869146,Vulpes vulpes,9,A
387,F701533,-92.846073,57.870346,Vulpes vulpes,6,A
388,F701533,-92.849543,57.868729,Vulpes vulpes,10,A
389,F701533,-92.849579,57.868681,Vulpes vulpes,9,A
390,F701533,-92.849498,57.86872,Vulpes vulpes,8,A
391,F701533,-92.849439,57.868702,Vulpes vulpes,8,A
392,F701533,-92.84961,57.868694,Vulpes vulpes,11,A
393,F701533,-92.849566,57.868712,Vulpes vulpes,8,A
394,F701533,-92.848571,57.86798,Vulpes vulpes,8,A
395,F701533,-92.848468,57.86813,Vulpes vulpes,6,A
396,F701533,-92.87317,57.852383,Vulpes vulpes,7,A
397,F701533,-92.877255,57.851453,Vulpes vulpes,6,A
398,F701533,-92.87805,57.853898,Vulpes vulpes,12,A
399,F701533,-92.873681,57.855926,Vulpes vulpes,8,A
400,F701533,-92.870876,57.850782,Vulpes vulpes,9,A
401,F701533,-92.862577,57.851605,Vulpes vulpes,8,A
402,F701533,-92.870138,57.850531,Vulpes vulpes,7,A
403,F701533,-92.870124,57.850618,Vulpes vulpes,6,A
404,F701533,-92.87381,57.854153,Vulpes vulpes,8,A
405,F701533,-92.873726,57.854158,Vulpes vulpes,8,A
406,F701533,-92.873657,57.854162,Vulpes vulpes,8,A
407,F701533,-92.873777,57.854204,Vulpes vulpes,8,A
408,F701533,-92.873796,57.854211,Vulpes vulpes,8,A
409,F701533,-92.874032,57.854078,Vulpes vulpes,6,A
410,F701533,-92.874799,57.852203,Vulpes vulpes,6,A
411,F701533,-92.859403,57.848548,Vulpes vulpes,7,A
412,F701533,-92.869444,57.842926,Vulpes vulpes,7,A
413,F701533,-92.875915,57.851174,Vulpes vulpes,8,A
414,F701533,-92.862285,57.853688,Vulpes vulpes,12,A
415,F701533,-92.862781,57.853385,Vulpes vulpes,10,A
416,F701533,-92.890486,57.851938,Vulpes vulpes,8,A
417,F701533,-92.916727,57.854845,Vulpes vulpes,7,A
418,F701533,-92.917973,57.8552,Vulpes vulpes,8,A
419,F701533,-92.936589,57.855589,Vulpes vulpes,9,A
420,F701533,-92.93576,57.853682,Vulpes vulpes,8,A
421,F701533,-92.935729,57.853635,Vulpes vulpes,9,A
422,F701533,-92.935825,57.853689,Vulpes vulpes,10,A
423,F701533,-92.940047,57.851704,Vulpes vulpes,8,A
424,F701533,-92.940021,57.851681,Vulpes vulpes,9,A
425,F701533,-92.947592,57.848986,Vulpes vulpes,7,A
426,F701533,-92.946958,57.841974,Vulpes vulpes,7,A
427,F701533,-92.933895,57.837737,Vulpes vulpes,7,A
428,F701533,-92.92304,57.836615,Vulpes vulpes,8,A
429,F701533,-92.903448,57.83838,Vulpes vulpes,8,A
430,F701533,-92.895866,57.842944,Vulpes vulpes,8,A
431,F701533,-92.893058,57.843589,Vulpes vulpes,8,A
432,F701533,-92.895805,57.842628,Vulpes vulpes,10,A
433,F701533,-92.886428,57.84582,Vulpes vulpes,9,A
434,F701533,-92.873106,57.851899,Vulpes vulpes,7,A
435,F701533,-92.873853,57.852104,Vulpes vulpes,9,A
436,F701533,-92.856761,57.857832,Vulpes vulpes,10,A
